analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,rank,lsc_year,doc_id,registered_domain,raw_form,context_source,context_token_count,avg_distance_to_cell_contexts,distance_percentile_in_cell,distance_z_in_cell,cell_breadth_mean_pairwise_distance,cell_contexts,cell_documents,cell_domains,content_word_hints,snippet
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,1,2016,36367539aa8db7be,kuscco.com,adhd,target_sentence,33,0.5966533500029378,1.0,7.285519271211168,0.13690831885309318,6220,4254,3177,"high, recovered, dairy, prior, liquid, acu, rite, meridia","Although a higher <t>adhd</t> of the recovered dairy from prior others was liquid to 4 acu-rite; meridia of malaria at the online reduction discoloration, this does properly infer crevicular or scientific doxycycline."
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,2,2016,80b8d3c69882904e,criminal-record-check.life,adhd,target_sentence,49,0.4679327278959884,0.99983922829582,5.245700438113623,0.13690831885309318,6220,4254,3177,"tell, prince, likely, possess, bed, census, deliver, mountain","He tells the prince's <t>adhd</t> that he is the likely one who possesses his bed's census, delivered on his mountain check, of casting a franchise bone and persuades them to take him with them as he is the social search left apparently who can make it often."
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,3,2015,2ac9fd2ba3f1f4a0,illinoistimes.com,adhd,target_sentence,28,0.4327756772906538,0.9995980707395499,4.6885712635720305,0.13690831885309318,6220,4254,3177,"production, form, productions, local, actor, jason, goodreau, mac","It’s the first production of the just-formed <t>ADHD</t> Productions, and local actors Jason Goodreau and Mac Warren are performing this must-see play by Richard Dresser."
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,4,2014,5a02a2c8b3617909,illinoistimes.com,adhd,target_sentence,28,0.4327756772906538,0.9995980707395499,4.6885712635720305,0.13690831885309318,6220,4254,3177,"production, form, productions, local, actor, jason, goodreau, mac","It’s the first production of the just-formed <t>ADHD</t> Productions, and local actors Jason Goodreau and Mac Warren are performing this must-see play by Richard Dresser."
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,5,2017,7203541365cd664e,additudemag.com,adhd,target_sentence,73,0.4209991463837932,0.9993569131832798,4.501950121293752,0.13690831885309318,6220,4254,3177,"text, buy, thing, middle, world, completely, google, ads",To me the world itself seems to have gone completely <t>ADHD</t> whenever: - Google Ads suggest I buy things I just bought - The phone rings in the middle of a text conversation - I get a text while I’m in the middle of writing another text - I go to Facebook ...
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,6,2014,85efe696f8e2bc12,thewrap.com,adhd,target_sentence,21,0.4131197812506606,0.9991961414790996,4.377086854411295,0.13690831885309318,6220,4254,3177,"network, order, traditional, half, hour, studio, premiere, primetime","The network has also ordered two traditional half-hour shows from the <t>ADHD</t> studio, which will premiere in primetime in 2015."
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,7,2014,612af73ee3c56e54,wikia.com,adhd,target_sentence,24,0.4131174852719579,0.9990353697749196,4.37705047033762,0.13690831885309318,6220,4254,3177,"plugin, edit, architecture, great, joy, acrobat, star, splash",edit Plugin Architecture One of the great joys of Acrobat is staring at the splash screen waiting for countless plugins to load (see <t>ADHD</t>).
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,8,2017,8257571c03571573,theinscribermag.com,adhd,target_sentence,10,0.41296821768110525,0.9988745980707395,4.374685046382946,0.13690831885309318,6220,4254,3177,"problem, company","However, problem has always been that this company has <t>ADHD</t>."
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,9,2016,76d4d3f5e6a0509f,healthyplace.com,adhd,target_sentence,23,0.40941650331807367,0.9987138263665595,4.318401494230165,0.13690831885309318,6220,4254,3177,"article, different, types, educational, assessment, tests, parent, advocate","next: Different Types of Educational Assessment Tests ~ back to Parent Advocate homepage ~ <t>adhd</t> library articles ~ all add/adhd articles APA Reference Staff, H."
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,10,2014,6b893a4bd106a0a4,issuu.com,attention_deficit,target_sentence,18,0.40592308253827536,0.9985530546623794,4.263041712853051,0.13690831885309318,6220,4254,3177,"lead, ail, society, overabundance, health, information, medical, guru",This <t>attention deficit</t> has led to an ailing society with an overabundance of health information and medical gurus.
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,1,2021,693a603488c63966,totallywiredmag.com,adhd,target_sentence_plus_adjacent,60,0.5257024700984011,1.0,6.209322319193285,0.12737463180238962,5626,3937,3426,"track, kind, push, direction, far, away, actually, album","... that direction was “Far Away,” and although it’s not actually on the album, it really showed me the type of vibe it could be. “<t>ADHD</t>” was written after finally being diagnosed. It started mostly as a joke song, but it’s also just a good introduction to w ..."
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,2,2020,51e985580050498b,somehell.com,adhd,target_sentence,18,0.5206878981526046,0.9998222538215429,6.1311528052636675,0.12737463180238962,5626,3937,3426,"opportunity, advantage, rely, cbd, cost, gas, relieve, actually",The opportunity advantages relying on CBD the cost of gas to relieve also have <t>ADHD</t> are actually massive.
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,3,2018,fa55aaa2ba7b0d0c,powellpediatrics.com,attention_deficit,target_sentence,59,0.4590611726512579,0.9996445076430857,5.170486325734457,0.12737463180238962,5626,3937,3426,"behavior, form, disorder, patient, assessment, like, evaluation, child",... fill out these forms in advance: Behavior Patient Assessment Form – Parents Behavior Patient Assessment Form – Teachers <t>Attention Deficit</t> Disorder Attention deficit hyperactivity disorder (ADHD) and attention deficit disorder (ADD) have symptoms that ma ...
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,4,2018,0d5b8c4b4004b225,ementalhealth.ca,attention_deficit,target_sentence,38,0.45717487261472944,0.9994667614646285,5.141081790596726,0.12737463180238962,5626,3937,3426,"disorder, problem, disorders, condition, individual, extreme, inattention, distractibility","<t>Attention Deficit</t> Disorders (ADD/ADHD) Attention deficit hyperactivity disorder (ADHD) and attention-deficit disorder (ADD) are conditions where individuals have extreme problems with inattention and distractibility, to the point that it causes problems ..."
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,5,2020,e251db7d1773ee21,americansportsinstitute.org,attention_deficit,target_sentence,59,0.4486883662237193,0.9992890152861713,5.008790124086298,0.12737463180238962,5626,3937,3426,"help, prevent, disease, disorder, irrefutable, overwhelming, body, research","... stroke, and other chronic diseases, it also helps prevent dementia, insomnia, depression, and anxiety, and serves as an effective measure for reducing the symptoms of <t>attention deficit</t> disorder (ADD) and attention deficit hyperactivity disorder (ADHD)."
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,6,2021,a180167720d52f07,mgmacademy.net,attention_deficit,target_sentence,67,0.42155470457981736,0.9991112691077142,4.585817801670523,0.12737463180238962,5626,3937,3426,"disabilities, behavior, support, wide, array, special, need, include","- We support a wide array of special needs, including: - <t>Attention Deficit</t> Disorder (ADHD/ADD) - Autism - Dyslexia and other reading disabilities - Speech and language communication - Health Impairments - Emotional Behavioral Disabilities - Developmenta ..."
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,7,2018,7f816fe2cd1155e0,mipitvi.cf,attention_deficit,target_sentence,34,0.4181619963023989,0.998933522929257,4.532930663981113,0.12737463180238962,5626,3937,3426,"relate, book, disorder, act, impulsively, daydream, trouble, focus","Related Books If you have <t>attention deficit</t> disorder (ADD), you may act impulsively, daydream, and have trouble focusing, but clinical studies suggest that these same symptoms may make you exceptionally creative, intuitive, and energetic."
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,8,2020,5e3dd4256c94545e,scientifictimes.org,attention_deficit,target_sentence,109,0.4085285336204594,0.9987557767507999,4.382759701544814,0.12737463180238962,5626,3937,3426,"asd, age, usually, disorder, onset, population, appear, early","... females and both sexes are affected and maybe he or she undergo in combination with other situation such as: deafness, <t>Attention Deficit</t> Disorder, Down Syndrome, cognitive disabilities, blindness, Cerebral Palsy, Epilepsy, etc the experts says there ar ..."
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,9,2019,bfe38e34668b87cd,stateuniversity.com,attention_deficit,target_sentence,16,0.4016031492163912,0.9985780305723427,4.274803541279617,0.12737463180238962,5626,3937,3426,"disorder, category, include, psychiatric, disability","This last category includes <t>attention deficit</t> disorder (ADD), attention deficit hyperactivity disorder (ADHD), and psychiatric disabilities."
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,10,2018,b34ea2e1582361b2,livejournal.com,adhd,target_sentence,11,0.39516206613596727,0.9984002843938855,4.174396898595173,0.12737463180238962,5626,3937,3426,"moi, hear, pretty","except what moi heard was, ""That's pretty <t>ADHD</t> of you!"
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,1,2023,e1b76dc6e2a7880d,networthdetail.com,adhd,target_sentence,26,0.5891652412918174,1.0,7.3660710756291365,0.11972828727772844,4883,3253,2897,"album, title, base, personal, life, diagnose, kid",One of his albums is also titled <t>ADHD</t> which is based on his personal life since he was diagnosed with ADHD when he was a kid.
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,2,2025,fa7b54c62a9884d5,kissfmdetroit.com,adhd,target_sentence,25,0.48155075066003883,0.999795207864018,5.677460965191355,0.11972828727772844,4883,3253,2897,"build, momentum, steamy, collaboration, come, heel, lucas, july","Building on Momentum This steamy collaboration comes on the heels of Lucas’s July release, <t>ADHD</t> 2, the follow-up to his 2020 debut, ADHD."
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,3,2024,9cd77139c0a6d4b6,bazenationz.com.ng,adhd,target_sentence,57,0.44323441586097234,0.9995904157280361,5.076228269141067,0.11972828727772844,4883,3253,2897,"joyner, lucas, ill, release, music, artist, producer, productions","Artist: Joyner Lucas Producer: <t>ADHD</t> Productions and Leo Son Album: Not Now I'm Busy Released: 2024 Duration: 03:13 Joyner Lucas I’m Ill MP3 Download Popular songwriter and music sensation, Joyner Lucas, releases a new track titled “I’m Ill” The song “I’ ..."
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,4,2022,e495c96bf3f60dcc,naturalcures.com,attention_deficit,target_sentence,25,0.4392994211328606,0.9993856235920541,5.014483128283181,0.11972828727772844,4883,3253,2897,"disorder, condition, category, include, polar, manic, depression, dementia","Conditions in this category include <t>attention deficit</t> disorder (ADD), attention deficit hyperactivity disorder (ADHD), bi-polar disorder (manic depression), dementia, multiple personalities, psychosis, and schizophrenia."
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,5,2026,075ec024bf5d7436,iratechsolutions.com,adhd,target_sentence,56,0.4324993624580493,0.9991808314560721,4.907781440039854,0.11972828727772844,4883,3253,2897,"titration, testing, center, overview, founded, date, august, sectors",... ation Testing Center Tricks The Celebs Are Using Titration Testing Center: A Comprehensive Insight Titration What Is Titration <t>ADHD</t> a crucial analytical strategy made use of in chemistry and biology to figure out the concentration of a determined analyt ...
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,6,2024,9cd77139c0a6d4b6,bazenationz.com.ng,adhd,target_sentence,22,0.42622473742990696,0.9989760393200902,4.80932448317908,0.11972828727772844,4883,3253,2897,"conclude, amazing, record, ill, joyner, lucas, produce, renowned","To conclude, the amazing record “I’m Ill” by Joyner Lucas was produced by renowned music producers, <t>ADHD</t> Productions and Leo Son."
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,7,2024,14f956548d465c28,bridgingthegapsdyslexiacenter.com,attention_deficit,target_sentence,82,0.41418234148695277,0.9987712471841081,4.620363764006541,0.11972828727772844,4883,3253,2897,"disorder, struggle, learning, problem, processing, program, address, central",Among the learning problems our program addresses are: - <t>attention deficit</t> disorder (ADD) - attention deficit hyperactivity disorder (ADHD) - central auditory processing disorder - reading struggles - math struggles - memory challenges - moderate focus ...
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,8,2022,684ed37558a80e8d,bipamerica.us,adhd,target_sentence,26,0.4097325155224901,0.9985664550481261,4.550540257254178,0.11972828727772844,4883,3253,2897,"finding, small, study, united, states, australia, recover, summation",The findings <t>adhd</t> to 3 smaller studies from the United States and Australia — each of which recovered an summation successful eating upset hospitalizations during the pandemic.
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,9,2023,1e1b3e46a239a73c,personiv.com,adhd,target_sentence,10,0.40253243077216583,0.9983616629121441,4.437561644113614,0.11972828727772844,4883,3253,2897,"entrepreneur, pretty",And entrepreneurs are pretty <t>ADHD</t> if I might say that.
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,10,2023,fdb83f831c105258,optimizeyourself.me,adhd,target_sentence,16,0.3992258486130337,0.9981568707761622,4.385677106704904,0.11972828727772844,4883,3253,2897,route,"So you and I have that whole same <t>ADHD</t> like just going down these routes, right."
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,1,2016,36367539aa8db7be,kuscco.com,adhd,target_sentence,33,0.5913534904134727,1.0,7.69826933137084,0.15029271078652628,4495,3123,2340,"high, recovered, dairy, prior, liquid, acu, rite, meridia","Although a higher <t>adhd</t> of the recovered dairy from prior others was liquid to 4 acu-rite; meridia of malaria at the online reduction discoloration, this does properly infer crevicular or scientific doxycycline."
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,2,2015,2ac9fd2ba3f1f4a0,illinoistimes.com,adhd,target_sentence,28,0.4393245958860488,0.9996662958843159,5.044758907676896,0.15029271078652628,4495,3123,2340,"production, form, productions, local, actor, jason, goodreau, mac","It’s the first production of the just-formed <t>ADHD</t> Productions, and local actors Jason Goodreau and Mac Warren are performing this must-see play by Richard Dresser."
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,3,2014,5a02a2c8b3617909,illinoistimes.com,adhd,target_sentence,28,0.4393245958860488,0.9996662958843159,5.044758907676896,0.15029271078652628,4495,3123,2340,"production, form, productions, local, actor, jason, goodreau, mac","It’s the first production of the just-formed <t>ADHD</t> Productions, and local actors Jason Goodreau and Mac Warren are performing this must-see play by Richard Dresser."
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,4,2014,85efe696f8e2bc12,thewrap.com,adhd,target_sentence,21,0.41990021289944957,0.9993325917686318,4.705725969964738,0.15029271078652628,4495,3123,2340,"network, order, traditional, half, hour, studio, premiere, primetime","The network has also ordered two traditional half-hour shows from the <t>ADHD</t> studio, which will premiere in primetime in 2015."
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,5,2017,8257571c03571573,theinscribermag.com,adhd,target_sentence,10,0.4178576166753488,0.9991101223581758,4.670074521015529,0.15029271078652628,4495,3123,2340,"problem, company","However, problem has always been that this company has <t>ADHD</t>."
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,6,2014,612af73ee3c56e54,wikia.com,adhd,target_sentence,24,0.41752215788380875,0.9988876529477196,4.664219427463489,0.15029271078652628,4495,3123,2340,"plugin, edit, architecture, great, joy, acrobat, star, splash",edit Plugin Architecture One of the great joys of Acrobat is staring at the splash screen waiting for countless plugins to load (see <t>ADHD</t>).
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,7,2016,28b302756ccb5a82,psychcentral.com,attention_deficit,target_sentence_plus_adjacent,48,0.37948480372385707,0.9986651835372636,4.000315923679455,0.15029271078652628,4495,3123,2340,"disorder, refer, impulsivity, present, begin, childhood, symptom, inattention",ADHD is also referred to as <t>attention deficit</t> disorder (ADD) when hyperactivity or impulsivity is not present. Attention deficit disorder begins in childhood. The symptoms of inattention and hyperactivity need to show themselves in a manner and degree w ...
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,8,2016,931407fc092d1519,dyslexianorthwest.com,attention_deficit,target_sentence,26,0.37436144568012064,0.9984427141268075,3.9108928964606497,0.15029271078652628,4495,3123,2340,"disorder, assessment, identify, sign, specific, learn, difficulty, autistic","The assessment may also identify signs of other specific learning difficulties such as autistic spectrum disorder, <t>attention deficit</t> disorder (ADD) or attention deficit hyperactivity disorder (ADHD)."
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,9,2017,ed3cccfb144c669d,mercola.com,attention_deficit,target_sentence,38,0.37388672130581246,0.9982202447163515,3.902607063168735,0.15029271078652628,4495,3123,2340,"food, disorder, mercola, censored, libary, natural, dyes, avoid","... ary 3 “Natural” Food Dyes to Avoid This article originally appeared on Naturally Savvy Digest Artificial food colors have been linked to attention problems, including <t>attention deficit</t> disorder (ADD), and attention deficit/hyperactivity disorder (ADHD)."
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,10,2015,c107dddb388ceeba,mirror.co.uk,adhd,target_sentence,25,0.36618097471001143,0.9979977753058954,3.768111058459487,0.15029271078652628,4495,3123,2340,"tony, lloyd, charity, foundation, drug, treatment, addition, behavioural","Dr Tony Lloyd, from the charity <t>ADHD</t> Foundation, said drug treatment should be used only in addition to behavioural therapies, as recommended by NHS guidelines."
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,1,2020,51e985580050498b,somehell.com,adhd,target_sentence,18,0.5229838026991451,1.0,6.447476773001869,0.13998470553174813,3886,2765,2450,"opportunity, advantage, rely, cbd, cost, gas, relieve, actually",The opportunity advantages relying on CBD the cost of gas to relieve also have <t>ADHD</t> are actually massive.
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,2,2018,fa55aaa2ba7b0d0c,powellpediatrics.com,attention_deficit,target_sentence,59,0.44355943478497684,0.9997426659804426,5.110432453252108,0.13998470553174813,3886,2765,2450,"behavior, form, disorder, patient, assessment, like, evaluation, child",... fill out these forms in advance: Behavior Patient Assessment Form – Parents Behavior Patient Assessment Form – Teachers <t>Attention Deficit</t> Disorder Attention deficit hyperactivity disorder (ADHD) and attention deficit disorder (ADD) have symptoms that ma ...
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,3,2018,0d5b8c4b4004b225,ementalhealth.ca,attention_deficit,target_sentence,38,0.4429276810775664,0.9994853319608852,5.099797395924528,0.13998470553174813,3886,2765,2450,"disorder, problem, disorders, condition, individual, extreme, inattention, distractibility","<t>Attention Deficit</t> Disorders (ADD/ADHD) Attention deficit hyperactivity disorder (ADHD) and attention-deficit disorder (ADD) are conditions where individuals have extreme problems with inattention and distractibility, to the point that it causes problems ..."
