critic_batch_name,source_batch_name,source_chunk_number,critic_batch_size,rows,annotation_id_start,annotation_id_end,source_input_sha256,source_output_sha256,critic_input_sha256,prompt_version,codebook_version
critic_batch_001_01.jsonl,annotator_batch_001.jsonl,1,10,10,llm_train_00001,llm_train_00010,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,1837429c7f81490fcf801aef967a0affcac0495c6241976afff835023d98c0b8,06d3724af78fbf8045e9c3cb1edf99959e37e5296d1d00477c0a9ae79c3a1bbe,critic_v5,v0.4
critic_batch_001_02.jsonl,annotator_batch_001.jsonl,2,10,10,llm_train_00011,llm_train_00020,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,1837429c7f81490fcf801aef967a0affcac0495c6241976afff835023d98c0b8,00548f7e57d2a68a0601c75ec2f76329a88c91ab2ebd2ff1a4e077d8ada6526d,critic_v5,v0.4
critic_batch_001_03.jsonl,annotator_batch_001.jsonl,3,10,10,llm_train_00021,llm_train_00030,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,1837429c7f81490fcf801aef967a0affcac0495c6241976afff835023d98c0b8,9e7bd22e282c15a28ae1fb4f5d7c0694a7eb2f853e9bff6a56ae5e0a3f80b1ac,critic_v5,v0.4
critic_batch_001_04.jsonl,annotator_batch_001.jsonl,4,10,10,llm_train_00031,llm_train_00040,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,1837429c7f81490fcf801aef967a0affcac0495c6241976afff835023d98c0b8,d74d76e2d4c218d1762896d9ea1ad3385ea9c88285e5182eeb76bfc2cf9e11f8,critic_v5,v0.4
critic_batch_001_05.jsonl,annotator_batch_001.jsonl,5,10,10,llm_train_00041,llm_train_00050,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,1837429c7f81490fcf801aef967a0affcac0495c6241976afff835023d98c0b8,9c473101c814b54b3c76265e01080ea78311073840bc37ead2632755fd5df82e,critic_v5,v0.4
critic_batch_001_06.jsonl,annotator_batch_001.jsonl,6,10,10,llm_train_00051,llm_train_00060,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,1837429c7f81490fcf801aef967a0affcac0495c6241976afff835023d98c0b8,1aa64838633439ca52e26ebe3a1bd0e1774333185c7e1fff07492f728b8ce27a,critic_v5,v0.4
critic_batch_001_07.jsonl,annotator_batch_001.jsonl,7,10,10,llm_train_00061,llm_train_00070,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,1837429c7f81490fcf801aef967a0affcac0495c6241976afff835023d98c0b8,bcd7d3f765d6c1f6a9e345bfa9ce7c8275be584452c83a325cc8ec2dd3babbf0,critic_v5,v0.4
critic_batch_001_08.jsonl,annotator_batch_001.jsonl,8,10,5,llm_train_00071,llm_train_00075,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,1837429c7f81490fcf801aef967a0affcac0495c6241976afff835023d98c0b8,6c72782082b60d5b6229b16a676154c34379d3e9dbea572c774869dfb950ff34,critic_v5,v0.4
critic_batch_002_01.jsonl,annotator_batch_002.jsonl,1,10,10,llm_train_00076,llm_train_00085,eeb76775af42a6f52c124bfd2ef692d96ad3c2927fb7908edd684e5ca37f56e7,5c2ea2aeeea520093366e6696ea739510ebcd18b78c0c081d24bb5eadba7f5f2,f37608b96912463cd6f7e0f9bfd7f15c463e22342812df0501405cc633f56b8e,critic_v5,v0.4
critic_batch_002_02.jsonl,annotator_batch_002.jsonl,2,10,10,llm_train_00086,llm_train_00095,eeb76775af42a6f52c124bfd2ef692d96ad3c2927fb7908edd684e5ca37f56e7,5c2ea2aeeea520093366e6696ea739510ebcd18b78c0c081d24bb5eadba7f5f2,3bdbce9849af9cc7b45c3c3f7d426b92a238028e3da41a7f6912205cc1b9489a,critic_v5,v0.4
