annotation_id,substantive_target_discourse,clinical_frame_present,lived_experience_frame_present,confidence,source_file
pilot_0001,True,False,True,high,pilot_batch_001.jsonl
pilot_0002,False,,,high,pilot_batch_001.jsonl
pilot_0003,True,True,False,high,pilot_batch_001.jsonl
pilot_0004,False,,,high,pilot_batch_001.jsonl
pilot_0005,True,True,False,medium,pilot_batch_001.jsonl
pilot_0006,True,True,False,high,pilot_batch_001.jsonl
pilot_0007,False,,,high,pilot_batch_001.jsonl
pilot_0008,True,False,True,high,pilot_batch_001.jsonl
pilot_0009,False,,,high,pilot_batch_001.jsonl
pilot_0010,True,True,True,high,pilot_batch_001.jsonl
pilot_0011,True,True,False,medium,pilot_batch_001.jsonl
pilot_0012,False,,,high,pilot_batch_001.jsonl
pilot_0013,True,True,False,high,pilot_batch_001.jsonl
pilot_0014,True,True,False,medium,pilot_batch_001.jsonl
pilot_0015,False,,,medium,pilot_batch_001.jsonl
pilot_0016,True,True,False,high,pilot_batch_001.jsonl
pilot_0017,True,False,True,high,pilot_batch_001.jsonl
pilot_0018,True,True,True,medium,pilot_batch_001.jsonl
pilot_0019,True,True,False,high,pilot_batch_001.jsonl
pilot_0020,True,True,True,high,pilot_batch_001.jsonl
pilot_0021,True,True,False,high,pilot_batch_001.jsonl
pilot_0022,True,True,False,high,pilot_batch_001.jsonl
pilot_0023,True,True,False,high,pilot_batch_001.jsonl
pilot_0024,False,,,high,pilot_batch_001.jsonl
pilot_0025,False,,,high,pilot_batch_001.jsonl
pilot_0026,False,,,medium,pilot_batch_001.jsonl
pilot_0027,True,True,False,high,pilot_batch_001.jsonl
pilot_0028,False,,,high,pilot_batch_001.jsonl
pilot_0029,False,,,high,pilot_batch_001.jsonl
pilot_0030,False,,,high,pilot_batch_001.jsonl
pilot_0031,False,,,high,pilot_batch_001.jsonl
pilot_0032,True,True,False,high,pilot_batch_001.jsonl
pilot_0033,True,True,False,high,pilot_batch_001.jsonl
pilot_0034,False,,,high,pilot_batch_001.jsonl
pilot_0035,True,True,False,medium,pilot_batch_001.jsonl
pilot_0036,False,,,high,pilot_batch_001.jsonl
pilot_0037,True,True,False,high,pilot_batch_001.jsonl
pilot_0038,True,True,False,high,pilot_batch_001.jsonl
pilot_0039,True,False,True,high,pilot_batch_001.jsonl
pilot_0040,False,,,high,pilot_batch_001.jsonl
pilot_0041,False,,,high,pilot_batch_001.jsonl
pilot_0042,True,True,False,high,pilot_batch_001.jsonl
pilot_0043,False,,,high,pilot_batch_001.jsonl
pilot_0044,False,,,high,pilot_batch_001.jsonl
pilot_0045,True,False,True,high,pilot_batch_001.jsonl
pilot_0046,True,False,True,high,pilot_batch_001.jsonl
pilot_0047,True,True,False,high,pilot_batch_001.jsonl
pilot_0048,False,,,high,pilot_batch_001.jsonl
pilot_0049,True,True,False,high,pilot_batch_001.jsonl
pilot_0050,True,True,True,medium,pilot_batch_001.jsonl
pilot_0051,True,False,True,medium,pilot_batch_001.jsonl
pilot_0052,False,,,high,pilot_batch_001.jsonl
pilot_0053,False,,,high,pilot_batch_001.jsonl
pilot_0054,True,True,False,high,pilot_batch_001.jsonl
pilot_0055,True,True,False,high,pilot_batch_001.jsonl
pilot_0056,True,True,False,high,pilot_batch_001.jsonl
pilot_0057,True,True,False,high,pilot_batch_001.jsonl
pilot_0058,True,False,True,high,pilot_batch_001.jsonl
pilot_0059,True,True,False,high,pilot_batch_001.jsonl
pilot_0060,True,True,False,medium,pilot_batch_001.jsonl
pilot_0061,True,False,True,high,pilot_batch_001.jsonl
pilot_0062,True,True,False,high,pilot_batch_001.jsonl
pilot_0063,True,False,True,medium,pilot_batch_001.jsonl
pilot_0064,True,True,False,high,pilot_batch_001.jsonl
pilot_0065,True,True,False,medium,pilot_batch_001.jsonl
pilot_0066,True,True,False,high,pilot_batch_001.jsonl
pilot_0067,True,False,False,high,pilot_batch_001.jsonl
pilot_0068,False,,,high,pilot_batch_001.jsonl
pilot_0069,False,,,high,pilot_batch_001.jsonl
pilot_0070,True,True,True,high,pilot_batch_001.jsonl
pilot_0071,False,,,high,pilot_batch_001.jsonl
pilot_0072,True,True,False,high,pilot_batch_001.jsonl
pilot_0073,True,True,False,high,pilot_batch_001.jsonl
pilot_0074,True,True,False,high,pilot_batch_001.jsonl
pilot_0075,True,True,False,high,pilot_batch_001.jsonl
pilot_0076,False,,,high,pilot_batch_002.jsonl
pilot_0077,False,,,high,pilot_batch_002.jsonl
pilot_0078,True,True,False,high,pilot_batch_002.jsonl
pilot_0079,False,,,high,pilot_batch_002.jsonl
pilot_0080,True,False,True,medium,pilot_batch_002.jsonl
pilot_0081,True,False,True,high,pilot_batch_002.jsonl
pilot_0082,True,True,False,high,pilot_batch_002.jsonl
pilot_0083,False,,,high,pilot_batch_002.jsonl
pilot_0084,False,,,high,pilot_batch_002.jsonl
pilot_0085,True,False,False,high,pilot_batch_002.jsonl
pilot_0086,True,True,False,high,pilot_batch_002.jsonl
pilot_0087,False,,,high,pilot_batch_002.jsonl
pilot_0088,True,False,True,high,pilot_batch_002.jsonl
pilot_0089,True,True,False,high,pilot_batch_002.jsonl
pilot_0090,True,True,True,high,pilot_batch_002.jsonl
pilot_0091,False,,,high,pilot_batch_002.jsonl
pilot_0092,False,,,high,pilot_batch_002.jsonl
pilot_0093,True,False,True,medium,pilot_batch_002.jsonl
pilot_0094,False,,,high,pilot_batch_002.jsonl
pilot_0095,True,True,False,high,pilot_batch_002.jsonl
pilot_0096,True,False,True,high,pilot_batch_002.jsonl
pilot_0097,True,False,True,medium,pilot_batch_002.jsonl
pilot_0098,True,True,True,high,pilot_batch_002.jsonl
pilot_0099,True,True,False,high,pilot_batch_002.jsonl
pilot_0100,False,,,medium,pilot_batch_002.jsonl
pilot_0101,True,True,False,medium,pilot_batch_002.jsonl
pilot_0102,True,False,True,high,pilot_batch_002.jsonl
pilot_0103,True,False,True,medium,pilot_batch_002.jsonl
pilot_0104,True,False,True,high,pilot_batch_002.jsonl
pilot_0105,False,,,high,pilot_batch_002.jsonl
pilot_0106,False,,,high,pilot_batch_002.jsonl
pilot_0107,True,True,False,high,pilot_batch_002.jsonl
pilot_0108,True,False,True,high,pilot_batch_002.jsonl
pilot_0109,True,False,True,high,pilot_batch_002.jsonl
pilot_0110,True,True,True,high,pilot_batch_002.jsonl
pilot_0111,True,True,False,high,pilot_batch_002.jsonl
pilot_0112,True,True,False,high,pilot_batch_002.jsonl
pilot_0113,True,False,False,high,pilot_batch_002.jsonl
pilot_0114,True,False,True,medium,pilot_batch_002.jsonl
pilot_0115,True,True,False,high,pilot_batch_002.jsonl
pilot_0116,True,False,True,medium,pilot_batch_002.jsonl
pilot_0117,True,True,False,high,pilot_batch_002.jsonl
pilot_0118,True,True,False,high,pilot_batch_002.jsonl
pilot_0119,False,,,high,pilot_batch_002.jsonl
pilot_0120,False,,,high,pilot_batch_002.jsonl
pilot_0121,False,,,high,pilot_batch_002.jsonl
pilot_0122,False,,,high,pilot_batch_002.jsonl
pilot_0123,False,,,high,pilot_batch_002.jsonl
pilot_0124,False,,,high,pilot_batch_002.jsonl
pilot_0125,False,,,high,pilot_batch_002.jsonl
pilot_0126,False,,,high,pilot_batch_002.jsonl
pilot_0127,False,,,high,pilot_batch_002.jsonl
pilot_0128,False,,,high,pilot_batch_002.jsonl
pilot_0129,False,,,high,pilot_batch_002.jsonl
pilot_0130,True,True,False,medium,pilot_batch_002.jsonl
pilot_0131,False,,,medium,pilot_batch_002.jsonl
pilot_0132,False,,,high,pilot_batch_002.jsonl
pilot_0133,True,True,True,medium,pilot_batch_002.jsonl
pilot_0134,True,True,False,high,pilot_batch_002.jsonl
pilot_0135,True,True,False,high,pilot_batch_002.jsonl
pilot_0136,False,,,high,pilot_batch_002.jsonl
pilot_0137,True,False,True,high,pilot_batch_002.jsonl
pilot_0138,False,,,medium,pilot_batch_002.jsonl
pilot_0139,True,True,True,high,pilot_batch_002.jsonl
pilot_0140,True,False,True,high,pilot_batch_002.jsonl
pilot_0141,True,True,False,high,pilot_batch_002.jsonl
pilot_0142,True,True,False,high,pilot_batch_002.jsonl
pilot_0143,True,True,False,high,pilot_batch_002.jsonl
pilot_0144,False,,,high,pilot_batch_002.jsonl
pilot_0145,False,,,high,pilot_batch_002.jsonl
pilot_0146,True,False,True,high,pilot_batch_002.jsonl
pilot_0147,True,False,True,medium,pilot_batch_002.jsonl
pilot_0148,True,True,True,high,pilot_batch_002.jsonl
pilot_0149,True,False,True,medium,pilot_batch_002.jsonl
pilot_0150,True,True,False,high,pilot_batch_002.jsonl
pilot_0151,True,True,False,high,pilot_batch_003.jsonl
pilot_0152,True,True,False,medium,pilot_batch_003.jsonl
pilot_0153,False,,,high,pilot_batch_003.jsonl
pilot_0154,True,True,False,high,pilot_batch_003.jsonl
pilot_0155,True,True,False,high,pilot_batch_003.jsonl
pilot_0156,False,,,high,pilot_batch_003.jsonl
pilot_0157,True,False,True,high,pilot_batch_003.jsonl
pilot_0158,True,True,True,medium,pilot_batch_003.jsonl
pilot_0159,True,False,True,medium,pilot_batch_003.jsonl
pilot_0160,True,False,True,medium,pilot_batch_003.jsonl
pilot_0161,True,False,True,high,pilot_batch_003.jsonl
pilot_0162,True,True,False,high,pilot_batch_003.jsonl
pilot_0163,False,,,high,pilot_batch_003.jsonl
pilot_0164,False,,,high,pilot_batch_003.jsonl
pilot_0165,False,,,high,pilot_batch_003.jsonl
pilot_0166,True,True,False,high,pilot_batch_003.jsonl
pilot_0167,False,,,high,pilot_batch_003.jsonl
pilot_0168,False,,,high,pilot_batch_003.jsonl
pilot_0169,True,True,False,medium,pilot_batch_003.jsonl
pilot_0170,False,,,medium,pilot_batch_003.jsonl
pilot_0171,True,True,False,high,pilot_batch_003.jsonl
pilot_0172,False,,,high,pilot_batch_003.jsonl
pilot_0173,False,,,high,pilot_batch_003.jsonl
pilot_0174,False,,,high,pilot_batch_003.jsonl
pilot_0175,False,,,high,pilot_batch_003.jsonl
pilot_0176,False,,,high,pilot_batch_003.jsonl
pilot_0177,True,True,False,medium,pilot_batch_003.jsonl
pilot_0178,True,False,True,high,pilot_batch_003.jsonl
