dataset,input_sha256,codebook_version,codebook_sha256,prompt_version,prompt_sha256,schema_sha256,no_tools_policy_sha256,task_prompt_sha256,requested_model,batch_name,input_rows,gemini_cli_version,attempt,return_code,status,error,completed_at_utc,usage_models,usage_tools,usage_files,metadata_path,normalised_text_fields,recovered_at_utc,normalised_hierarchy_fields
pilot,e21b2dabb5b901afde6ad25774ddd288cfb28342417a10afaf980c2d89229705,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,e83db48e4746effeade07104217d6c4050285da3577b79e87599ab3825a22f4b,gemini-3-flash-preview,critic_batch_001_01.jsonl,10,0.46.0,1,0,valid,,2026-06-15T09:56:13.494885+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 39817}, 'tokens': {'input': 17009, 'prompt': 17009, 'candidates': 1727, 'total': 24709, 'cached': 0, 'thoughts': 5973, 'tool': 0}, 'roles': {'main': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 39817, 'tokens': {'input': 17009, 'prompt': 17009, 'candidates': 1727, 'total': 24709, 'cached': 0, 'thoughts': 5973, 'tool': 0}}}}}","{'totalCalls': 0, 'totalSuccess': 0, 'totalFail': 0, 'totalDurationMs': 0, 'totalDecisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_01/attempt_01_metadata.json,,,
pilot,99d6cbb9202a6615afda422ddedf29c9087ded2dc72d7281c936d41aace79e8b,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,1227c61935abc638503db812fe97d682991f068ad4f198b881ea8e0bd96cc755,gemini-3-flash-preview,critic_batch_001_02.jsonl,10,0.46.0,1,0,valid,,2026-06-15T09:57:37.439907+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 79444}, 'tokens': {'input': 17255, 'prompt': 17255, 'candidates': 1354, 'total': 31799, 'cached': 0, 'thoughts': 13190, 'tool': 0}, 'roles': {'main': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 79444, 'tokens': {'input': 17255, 'prompt': 17255, 'candidates': 1354, 'total': 31799, 'cached': 0, 'thoughts': 13190, 'tool': 0}}}}}","{'totalCalls': 0, 'totalSuccess': 0, 'totalFail': 0, 'totalDurationMs': 0, 'totalDecisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_02/attempt_01_metadata.json,,,
pilot,cf716a1f34f07a383334857bb5f5020e58a1b8903f67f9407f612ec28b97b698,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,ecca0df2a71719cf76498d3d933d1953524fa1372cb6a791c252195c15fc6a42,gemini-3-flash-preview,critic_batch_001_03.jsonl,10,0.46.0,1,0,valid,,2026-06-15T09:58:29.274458+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 47209}, 'tokens': {'input': 17401, 'prompt': 17401, 'candidates': 1312, 'total': 26311, 'cached': 0, 'thoughts': 7598, 'tool': 0}, 'roles': {'main': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 47209, 'tokens': {'input': 17401, 'prompt': 17401, 'candidates': 1312, 'total': 26311, 'cached': 0, 'thoughts': 7598, 'tool': 0}}}}}","{'totalCalls': 0, 'totalSuccess': 0, 'totalFail': 0, 'totalDurationMs': 0, 'totalDecisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_03/attempt_01_metadata.json,,,
pilot,fb8b3ed91ca9094cc8c8cc2f6441e5e2dd5f22e0b72f790980be051755752255,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,5161ce811972d8b13d812e384f40af4619e171020d627146e928e3d2a24ae1b9,gemini-3-flash-preview,critic_batch_001_04.jsonl,10,0.46.0,1,0,valid,,2026-06-15T09:59:49.118780+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 75345}, 'tokens': {'input': 16842, 'prompt': 16842, 'candidates': 1860, 'total': 30332, 'cached': 0, 'thoughts': 11630, 'tool': 0}, 'roles': {'main': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 75345, 'tokens': {'input': 16842, 'prompt': 16842, 'candidates': 1860, 'total': 30332, 'cached': 0, 'thoughts': 11630, 'tool': 0}}}}}","{'totalCalls': 0, 'totalSuccess': 0, 'totalFail': 0, 'totalDurationMs': 0, 'totalDecisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_04/attempt_01_metadata.json,1.0,2026-06-15T10:00:19.527847+00:00,
pilot,602cacf548ab1e8ff5d53e677ec08989e90a6317d92165f436eb393039c7e958,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,fb75cd04acf5298f488cdbe950fbab0062d90f6172ed3385e0232165acb3ec51,gemini-3-flash-preview,critic_batch_001_05.jsonl,10,0.46.0,1,0,valid,,2026-06-15T10:00:41.861978+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 3, 'totalErrors': 1, 'totalLatencyMs': 12412}, 'tokens': {'input': 17610, 'prompt': 33893, 'candidates': 1779, 'total': 35672, 'cached': 16283, 'thoughts': 0, 'tool': 0}, 'roles': {'main': {'totalRequests': 3, 'totalErrors': 1, 'totalLatencyMs': 12412, 'tokens': {'input': 17610, 'prompt': 33893, 'candidates': 1779, 'total': 35672, 'cached': 16283, 'thoughts': 0, 'tool': 0}}}}}","{'totalCalls': 1, 'totalSuccess': 1, 'totalFail': 0, 'totalDurationMs': 5, 'totalDecisions': {'accept': 1, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {'update_topic': {'count': 1, 'success': 1, 'fail': 0, 'durationMs': 5, 'decisions': {'accept': 1, 'reject': 0, 'modify': 0, 'auto_accept': 0}}}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_05/attempt_01_metadata.json,0.0,2026-06-15T10:01:15.102651+00:00,2.0
pilot,a1584fefceec76a134312f23968e13cbd91e4f374a97ce1ce90db57685e71a4a,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,e2a5681b3a3677dfb28575c4203073790636294b8173819a0470161404c57af9,gemini-3-flash-preview,critic_batch_001_06.jsonl,10,0.46.0,1,0,valid,,2026-06-15T10:01:39.360247+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 3, 'totalErrors': 1, 'totalLatencyMs': 13098}, 'tokens': {'input': 18838, 'prompt': 35101, 'candidates': 1945, 'total': 37046, 'cached': 16263, 'thoughts': 0, 'tool': 0}, 'roles': {'main': {'totalRequests': 3, 'totalErrors': 1, 'totalLatencyMs': 13098, 'tokens': {'input': 18838, 'prompt': 35101, 'candidates': 1945, 'total': 37046, 'cached': 16263, 'thoughts': 0, 'tool': 0}}}}}","{'totalCalls': 2, 'totalSuccess': 1, 'totalFail': 1, 'totalDurationMs': 5, 'totalDecisions': {'accept': 1, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {'update_topic': {'count': 1, 'success': 1, 'fail': 0, 'durationMs': 5, 'decisions': {'accept': 1, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'activate_skill': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_06/attempt_01_metadata.json,0.0,2026-06-15T10:01:57.426484+00:00,0.0
pilot,df451d4d6f2483579430478d22b3eabea4890d35420de1efc4e8aa4b9e2364a7,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,a0d78fddb080f2782085671a9c6947cb4cd525b77ac500d3abdb05d5db6f21a8,gemini-3-flash-preview,critic_batch_001_07.jsonl,10,0.46.0,1,0,invalid,attempt_01_response.json: Gemini response is not valid JSON: Expecting value: line 1 column 1 (char 0),2026-06-15T10:03:08.782902+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 8, 'totalErrors': 2, 'totalLatencyMs': 55525}, 'tokens': {'input': 32055, 'prompt': 121319, 'candidates': 1059, 'total': 128465, 'cached': 89264, 'thoughts': 6087, 'tool': 0}, 'roles': {'main': {'totalRequests': 8, 'totalErrors': 2, 'totalLatencyMs': 55525, 'tokens': {'input': 32055, 'prompt': 121319, 'candidates': 1059, 'total': 128465, 'cached': 89264, 'thoughts': 6087, 'tool': 0}}}}}","{'totalCalls': 7, 'totalSuccess': 3, 'totalFail': 4, 'totalDurationMs': 4, 'totalDecisions': {'accept': 3, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {'update_topic': {'count': 3, 'success': 3, 'fail': 0, 'durationMs': 4, 'decisions': {'accept': 3, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'activate_skill': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'run_shell_command': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'read_file': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'exit_plan_mode': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_07/attempt_01_metadata.json,0.0,,0.0
pilot,df451d4d6f2483579430478d22b3eabea4890d35420de1efc4e8aa4b9e2364a7,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,a0d78fddb080f2782085671a9c6947cb4cd525b77ac500d3abdb05d5db6f21a8,gemini-3-flash-preview,critic_batch_001_07.jsonl,10,0.46.0,2,0,valid,,2026-06-15T10:08:11.567045+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 49322}, 'tokens': {'input': 8863, 'prompt': 17015, 'candidates': 1710, 'total': 26452, 'cached': 8152, 'thoughts': 7727, 'tool': 0}, 'roles': {'main': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 49322, 'tokens': {'input': 8863, 'prompt': 17015, 'candidates': 1710, 'total': 26452, 'cached': 8152, 'thoughts': 7727, 'tool': 0}}}}}","{'totalCalls': 0, 'totalSuccess': 0, 'totalFail': 0, 'totalDurationMs': 0, 'totalDecisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_07/attempt_02_metadata.json,0.0,,0.0
pilot,60cbd8b2c11a71414c8e85b5c659c681644320423fd49a30e71c0c2bfe7ab7bd,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,d89e7ecc324279806ffb7a9de8c79df638756e1dd1963bf3b35938458b94eb9f,gemini-3-flash-preview,critic_batch_001_08.jsonl,5,0.46.0,1,0,valid,,2026-06-15T10:08:49.025861+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 32878}, 'tokens': {'input': 3702, 'prompt': 15926, 'candidates': 675, 'total': 21857, 'cached': 12224, 'thoughts': 5256, 'tool': 0}, 'roles': {'main': {'totalRequests': 1, 'totalErrors': 0, 'totalLatencyMs': 32878, 'tokens': {'input': 3702, 'prompt': 15926, 'candidates': 675, 'total': 21857, 'cached': 12224, 'thoughts': 5256, 'tool': 0}}}}}","{'totalCalls': 0, 'totalSuccess': 0, 'totalFail': 0, 'totalDurationMs': 0, 'totalDecisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_001_08/attempt_01_metadata.json,2.0,,0.0
pilot,27076c979f02bfd68ecccfffdb3939bd8ff6c7d2fe5fcc5d7c26b707e1723763,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,critic_v5,844efacaaf2ca201eea1cf8d41f6fb7f5cedf8715f4de2b8942ab2c07fcd517b,24fbb2e05163af3e134f5043cc49a2d2fe939f8dca79beaf1990ee503cb26d99,eeb3f33a55b9a9a59c030f858dc4333d75e00af1c6738b633308265d268214fc,b198735058b3a9ae3a9745cf745cede0f642a0a0febd5950357c8f007d67cc29,gemini-3-flash-preview,critic_batch_002_01.jsonl,10,0.46.0,1,0,valid,,2026-06-15T10:10:24.459773+00:00,"{'gemini-3-flash-preview': {'api': {'totalRequests': 12, 'totalErrors': 5, 'totalLatencyMs': 61975}, 'tokens': {'input': 22383, 'prompt': 132060, 'candidates': 2065, 'total': 141398, 'cached': 109677, 'thoughts': 7273, 'tool': 0}, 'roles': {'main': {'totalRequests': 12, 'totalErrors': 5, 'totalLatencyMs': 61975, 'tokens': {'input': 22383, 'prompt': 132060, 'candidates': 2065, 'total': 141398, 'cached': 109677, 'thoughts': 7273, 'tool': 0}}}}}","{'totalCalls': 6, 'totalSuccess': 2, 'totalFail': 4, 'totalDurationMs': 14, 'totalDecisions': {'accept': 2, 'reject': 0, 'modify': 0, 'auto_accept': 0}, 'byName': {'activate_skill': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'update_topic': {'count': 2, 'success': 2, 'fail': 0, 'durationMs': 14, 'decisions': {'accept': 2, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'run_shell_command': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'read_file': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}, 'grep_search': {'count': 1, 'success': 0, 'fail': 1, 'durationMs': 0, 'decisions': {'accept': 0, 'reject': 0, 'modify': 0, 'auto_accept': 0}}}}","{'totalLinesAdded': 0, 'totalLinesRemoved': 0}",data/interim/lsc/classification/llm_annotation/gemini/pilot/runs/gemini-3-flash-preview/critic_batch_002_01/attempt_01_metadata.json,0.0,,0.0
