annotation_id,substantive_target_discourse,clinical_frame_present,lived_experience_frame_present,confidence,source_file,derived_frame
llm_train_00001,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00002,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00003,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00004,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00005,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00006,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00007,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00008,True,True,True,medium,annotator_batch_001.jsonl,mixed
llm_train_00009,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00010,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00011,True,True,True,medium,annotator_batch_001.jsonl,mixed
llm_train_00012,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00013,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00014,True,True,True,high,annotator_batch_001.jsonl,mixed
llm_train_00015,True,True,True,high,annotator_batch_001.jsonl,mixed
llm_train_00016,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00017,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00018,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00019,True,False,True,medium,annotator_batch_001.jsonl,lived_only
llm_train_00020,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00021,True,False,True,high,annotator_batch_001.jsonl,lived_only
llm_train_00022,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00023,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00024,True,True,False,high,annotator_batch_001.jsonl,clinical_only
llm_train_00025,True,True,False,medium,annotator_batch_001.jsonl,clinical_only
llm_train_00026,False,,,high,annotator_batch_001.jsonl,non_substantive_or_insufficient
llm_train_00027,True,True,False,high,annotator_batch_001.jsonl,clinical_only
